Category: All categories

Month,Global economic crisis: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,83
2008-11,89
2008-12,63
2009-01,41
2009-02,95
2009-03,100
2009-04,91
2009-05,78
2009-06,44
2009-07,37
2009-08,27
2009-09,41
2009-10,51
2009-11,32
2009-12,55
2010-01,35
2010-02,38
2010-03,42
2010-04,43
2010-05,49
2010-06,30
2010-07,18
2010-08,15
2010-09,28
2010-10,29
2010-11,37
2010-12,30
2011-01,31
2011-02,25
2011-03,29
2011-04,36
2011-05,31
2011-06,18
2011-07,21
2011-08,28
2011-09,27
2011-10,37
2011-11,27
2011-12,30
2012-01,28
2012-02,24
2012-03,22
2012-04,27
2012-05,22
2012-06,26
2012-07,17
2012-08,21
2012-09,29
2012-10,23
2012-11,25
2012-12,18
2013-01,19
2013-02,20
2013-03,24
2013-04,22
2013-05,19
2013-06,8
2013-07,8
2013-08,10
2013-09,17
2013-10,14
2013-11,19
2013-12,11
2014-01,18
2014-02,19
2014-03,17
2014-04,21
2014-05,16
2014-06,13
2014-07,9
2014-08,0
2014-09,14
2014-10,14
2014-11,16
2014-12,15
2015-01,17
2015-02,17
2015-03,16
2015-04,18
2015-05,15
2015-06,13
2015-07,8
2015-08,11
2015-09,23
2015-10,16
2015-11,17
2015-12,18
2016-01,19
2016-02,21
2016-03,18
2016-04,27
2016-05,22
2016-06,12
2016-07,7
2016-08,10
2016-09,9
2016-10,13
2016-11,17
2016-12,11
2017-01,14
2017-02,22
2017-03,15
2017-04,20
2017-05,15
2017-06,10
2017-07,7
2017-08,11
2017-09,20
2017-10,17
2017-11,12
2017-12,13
2018-01,12
2018-02,15
2018-03,14
2018-04,21
2018-05,19
2018-06,6
2018-07,11
2018-08,7
2018-09,9
2018-10,13
2018-11,10
2018-12,13
2019-01,11
2019-02,19
2019-03,17
2019-04,13
2019-05,20
2019-06,10
2019-07,7
2019-08,6
2019-09,13
2019-10,15
2019-11,13
2019-12,10
2020-01,11
2020-02,17
2020-03,19
2020-04,27
2020-05,27
2020-06,13
2020-07,12
2020-08,7
2020-09,17
2020-10,11
2020-11,14
2020-12,12
2021-01,9
2021-02,13
2021-03,14
2021-04,24
2021-05,17
2021-06,10
2021-07,8
2021-08,4
2021-09,13
2021-10,14
2021-11,10
2021-12,16
2022-01,15
2022-02,17
2022-03,29
2022-04,44
2022-05,38
2022-06,20
2022-07,10
2022-08,10
2022-09,22
2022-10,18
2022-11,24
2022-12,16
2023-01,22
2023-02,26
2023-03,38
2023-04,51
2023-05,39
2023-06,18
2023-07,12
2023-08,9
2023-09,25
2023-10,29
2023-11,30
2023-12,23
2024-01,20
2024-02,40
2024-03,42
2024-04,57
2024-05,36
2024-06,16
2024-07,18
2024-08,13
2024-09,24
2024-10,30
2024-11,30
2024-12,24
2025-01,25
2025-02,33
2025-03,45
2025-04,47
