Category: All categories

Month,Market sentiment: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,22
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,18
2007-12,0
2008-01,19
2008-02,16
2008-03,26
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,18
2008-09,0
2008-10,19
2008-11,0
2008-12,16
2009-01,13
2009-02,17
2009-03,16
2009-04,20
2009-05,14
2009-06,22
2009-07,21
2009-08,20
2009-09,13
2009-10,13
2009-11,14
2009-12,15
2010-01,16
2010-02,14
2010-03,12
2010-04,22
2010-05,16
2010-06,0
2010-07,22
2010-08,11
2010-09,18
2010-10,14
2010-11,21
2010-12,16
2011-01,17
2011-02,13
2011-03,14
2011-04,21
2011-05,16
2011-06,11
2011-07,15
2011-08,18
2011-09,14
2011-10,14
2011-11,11
2011-12,11
2012-01,10
2012-02,13
2012-03,10
2012-04,10
2012-05,14
2012-06,9
2012-07,16
2012-08,12
2012-09,13
2012-10,11
2012-11,10
2012-12,8
2013-01,11
2013-02,10
2013-03,10
2013-04,11
2013-05,13
2013-06,8
2013-07,10
2013-08,13
2013-09,13
2013-10,11
2013-11,15
2013-12,13
2014-01,15
2014-02,16
2014-03,11
2014-04,11
2014-05,7
2014-06,8
2014-07,11
2014-08,9
2014-09,10
2014-10,10
2014-11,11
2014-12,14
2015-01,16
2015-02,7
2015-03,14
2015-04,14
2015-05,8
2015-06,9
2015-07,12
2015-08,17
2015-09,16
2015-10,17
2015-11,10
2015-12,11
2016-01,12
2016-02,16
2016-03,13
2016-04,18
2016-05,11
2016-06,12
2016-07,10
2016-08,8
2016-09,10
2016-10,12
2016-11,10
2016-12,13
2017-01,10
2017-02,16
2017-03,15
2017-04,15
2017-05,13
2017-06,14
2017-07,10
2017-08,9
2017-09,12
2017-10,16
2017-11,15
2017-12,15
2018-01,13
2018-02,22
2018-03,19
2018-04,17
2018-05,14
2018-06,10
2018-07,16
2018-08,9
2018-09,13
2018-10,20
2018-11,19
2018-12,26
2019-01,15
2019-02,19
2019-03,15
2019-04,13
2019-05,13
2019-06,15
2019-07,14
2019-08,14
2019-09,14
2019-10,12
2019-11,15
2019-12,11
2020-01,12
2020-02,18
2020-03,31
2020-04,28
2020-05,21
2020-06,29
2020-07,19
2020-08,17
2020-09,24
2020-10,21
2020-11,20
2020-12,20
2021-01,24
2021-02,32
2021-03,26
2021-04,28
2021-05,21
2021-06,16
2021-07,18
2021-08,18
2021-09,21
2021-10,20
2021-11,23
2021-12,20
2022-01,31
2022-02,36
2022-03,32
2022-04,32
2022-05,37
2022-06,31
2022-07,25
2022-08,31
2022-09,29
2022-10,33
2022-11,27
2022-12,28
2023-01,26
2023-02,30
2023-03,26
2023-04,29
2023-05,23
2023-06,24
2023-07,28
2023-08,25
2023-09,26
2023-10,34
2023-11,39
2023-12,31
2024-01,32
2024-02,37
2024-03,37
2024-04,43
2024-05,31
2024-06,32
2024-07,27
2024-08,32
2024-09,37
2024-10,35
2024-11,42
2024-12,43
2025-01,43
2025-02,100
2025-03,87
2025-04,73
