Category: All categories

Month,Risk management: (United States)
2004-01,92
2004-02,95
2004-03,100
2004-04,95
2004-05,86
2004-06,98
2004-07,92
2004-08,94
2004-09,97
2004-10,95
2004-11,85
2004-12,75
2005-01,89
2005-02,89
2005-03,84
2005-04,95
2005-05,87
2005-06,87
2005-07,86
2005-08,80
2005-09,89
2005-10,81
2005-11,73
2005-12,67
2006-01,76
2006-02,79
2006-03,82
2006-04,78
2006-05,77
2006-06,72
2006-07,68
2006-08,75
2006-09,69
2006-10,75
2006-11,70
2006-12,58
2007-01,70
2007-02,72
2007-03,70
2007-04,72
2007-05,68
2007-06,70
2007-07,66
2007-08,68
2007-09,69
2007-10,77
2007-11,70
2007-12,57
2008-01,73
2008-02,70
2008-03,69
2008-04,67
2008-05,64
2008-06,65
2008-07,64
2008-08,63
2008-09,66
2008-10,67
2008-11,64
2008-12,57
2009-01,63
2009-02,71
2009-03,66
2009-04,68
2009-05,64
2009-06,67
2009-07,66
2009-08,67
2009-09,66
2009-10,68
2009-11,66
2009-12,56
2010-01,65
2010-02,73
2010-03,69
2010-04,74
2010-05,65
2010-06,65
2010-07,54
2010-08,50
2010-09,54
2010-10,57
2010-11,55
2010-12,46
2011-01,53
2011-02,58
2011-03,64
2011-04,56
2011-05,54
2011-06,53
2011-07,48
2011-08,51
2011-09,58
2011-10,57
2011-11,50
2011-12,44
2012-01,52
2012-02,62
2012-03,56
2012-04,55
2012-05,53
2012-06,54
2012-07,52
2012-08,54
2012-09,53
2012-10,55
2012-11,50
2012-12,35
2013-01,50
2013-02,54
2013-03,53
2013-04,57
2013-05,53
2013-06,50
2013-07,48
2013-08,51
2013-09,52
2013-10,55
2013-11,50
2013-12,42
2014-01,53
2014-02,57
2014-03,57
2014-04,58
2014-05,52
2014-06,55
2014-07,57
2014-08,49
2014-09,56
2014-10,57
2014-11,51
2014-12,43
2015-01,52
2015-02,56
2015-03,58
2015-04,59
2015-05,50
2015-06,52
2015-07,52
2015-08,54
2015-09,58
2015-10,56
2015-11,51
2015-12,42
2016-01,48
2016-02,54
2016-03,55
2016-04,54
2016-05,46
2016-06,48
2016-07,42
2016-08,46
2016-09,51
2016-10,54
2016-11,48
2016-12,43
2017-01,51
2017-02,57
2017-03,57
2017-04,60
2017-05,52
2017-06,47
2017-07,49
2017-08,49
2017-09,56
2017-10,58
2017-11,50
2017-12,45
2018-01,48
2018-02,56
2018-03,53
2018-04,56
2018-05,51
2018-06,46
2018-07,45
2018-08,49
2018-09,50
2018-10,52
2018-11,47
2018-12,42
2019-01,49
2019-02,55
2019-03,51
2019-04,54
2019-05,47
2019-06,48
2019-07,43
2019-08,48
2019-09,50
2019-10,51
2019-11,44
2019-12,41
2020-01,50
2020-02,51
2020-03,45
2020-04,45
2020-05,46
2020-06,47
2020-07,50
2020-08,47
2020-09,55
2020-10,52
2020-11,46
2020-12,45
2021-01,46
2021-02,53
2021-03,53
2021-04,56
2021-05,52
2021-06,52
2021-07,50
2021-08,51
2021-09,61
2021-10,59
2021-11,55
2021-12,53
2022-01,52
2022-02,62
2022-03,63
2022-04,63
2022-05,53
2022-06,50
2022-07,45
2022-08,52
2022-09,54
2022-10,57
2022-11,55
2022-12,51
2023-01,51
2023-02,60
2023-03,60
2023-04,64
2023-05,59
2023-06,54
2023-07,51
2023-08,52
2023-09,59
2023-10,63
2023-11,56
2023-12,50
2024-01,57
2024-02,69
2024-03,66
2024-04,66
2024-05,58
2024-06,55
2024-07,56
2024-08,57
2024-09,66
2024-10,68
2024-11,68
2024-12,59
2025-01,65
2025-02,82
2025-03,79
2025-04,85
