Category: All categories

Month,Stock market crash: (United States)
2004-01,20
2004-02,25
2004-03,26
2004-04,24
2004-05,23
2004-06,13
2004-07,9
2004-08,8
2004-09,13
2004-10,19
2004-11,20
2004-12,16
2005-01,17
2005-02,24
2005-03,22
2005-04,24
2005-05,21
2005-06,12
2005-07,7
2005-08,8
2005-09,11
2005-10,16
2005-11,15
2005-12,14
2006-01,16
2006-02,17
2006-03,21
2006-04,18
2006-05,19
2006-06,10
2006-07,7
2006-08,7
2006-09,10
2006-10,12
2006-11,12
2006-12,11
2007-01,12
2007-02,19
2007-03,21
2007-04,16
2007-05,15
2007-06,10
2007-07,10
2007-08,15
2007-09,13
2007-10,16
2007-11,14
2007-12,11
2008-01,21
2008-02,14
2008-03,18
2008-04,17
2008-05,14
2008-06,10
2008-07,9
2008-08,6
2008-09,48
2008-10,54
2008-11,23
2008-12,16
2009-01,14
2009-02,20
2009-03,22
2009-04,15
2009-05,13
2009-06,8
2009-07,7
2009-08,8
2009-09,10
2009-10,14
2009-11,13
2009-12,11
2010-01,11
2010-02,14
2010-03,15
2010-04,15
2010-05,24
2010-06,10
2010-07,7
2010-08,9
2010-09,10
2010-10,13
2010-11,12
2010-12,10
2011-01,12
2011-02,15
2011-03,22
2011-04,16
2011-05,15
2011-06,10
2011-07,9
2011-08,23
2011-09,12
2011-10,13
2011-11,12
2011-12,10
2012-01,11
2012-02,14
2012-03,13
2012-04,14
2012-05,13
2012-06,9
2012-07,7
2012-08,8
2012-09,10
2012-10,13
2012-11,14
2012-12,10
2013-01,12
2013-02,15
2013-03,13
2013-04,17
2013-05,14
2013-06,11
2013-07,8
2013-08,9
2013-09,9
2013-10,14
2013-11,12
2013-12,12
2014-01,13
2014-02,18
2014-03,17
2014-04,18
2014-05,14
2014-06,10
2014-07,10
2014-08,9
2014-09,11
2014-10,15
2014-11,14
2014-12,15
2015-01,15
2015-02,15
2015-03,16
2015-04,17
2015-05,15
2015-06,12
2015-07,23
2015-08,47
2015-09,21
2015-10,13
2015-11,13
2015-12,14
2016-01,30
2016-02,22
2016-03,20
2016-04,19
2016-05,15
2016-06,21
2016-07,11
2016-08,11
2016-09,12
2016-10,14
2016-11,36
2016-12,16
2017-01,15
2017-02,22
2017-03,23
2017-04,19
2017-05,21
2017-06,16
2017-07,11
2017-08,15
2017-09,14
2017-10,20
2017-11,18
2017-12,18
2018-01,24
2018-02,89
2018-03,28
2018-04,23
2018-05,19
2018-06,17
2018-07,16
2018-08,18
2018-09,18
2018-10,32
2018-11,24
2018-12,41
2019-01,24
2019-02,22
2019-03,23
2019-04,19
2019-05,20
2019-06,11
2019-07,11
2019-08,18
2019-09,12
2019-10,17
2019-11,17
2019-12,17
2020-01,21
2020-02,36
2020-03,100
2020-04,47
2020-05,31
2020-06,24
2020-07,23
2020-08,22
2020-09,25
2020-10,23
2020-11,22
2020-12,22
2021-01,38
2021-02,43
2021-03,30
2021-04,32
2021-05,46
2021-06,33
2021-07,30
2021-08,22
2021-09,25
2021-10,26
2021-11,30
2021-12,30
2022-01,48
2022-02,38
2022-03,32
2022-04,37
2022-05,55
2022-06,44
2022-07,21
2022-08,17
2022-09,22
2022-10,19
2022-11,18
2022-12,17
2023-01,19
2023-02,22
2023-03,35
2023-04,24
2023-05,27
2023-06,20
2023-07,15
2023-08,32
2023-09,21
2023-10,22
2023-11,19
2023-12,20
2024-01,19
2024-02,24
2024-03,23
2024-04,25
2024-05,18
2024-06,12
2024-07,13
2024-08,63
2024-09,14
2024-10,18
2024-11,21
2024-12,18
2025-01,21
2025-02,36
2025-03,42
2025-04,30
