Category: All categories

Month,Volatility: (United States)
2004-01,60
2004-02,70
2004-03,76
2004-04,67
2004-05,51
2004-06,61
2004-07,68
2004-08,62
2004-09,57
2004-10,58
2004-11,53
2004-12,62
2005-01,50
2005-02,58
2005-03,66
2005-04,73
2005-05,62
2005-06,48
2005-07,60
2005-08,52
2005-09,54
2005-10,50
2005-11,49
2005-12,50
2006-01,48
2006-02,52
2006-03,54
2006-04,57
2006-05,59
2006-06,56
2006-07,54
2006-08,45
2006-09,45
2006-10,51
2006-11,46
2006-12,46
2007-01,44
2007-02,56
2007-03,55
2007-04,53
2007-05,50
2007-06,58
2007-07,52
2007-08,63
2007-09,50
2007-10,51
2007-11,60
2007-12,50
2008-01,56
2008-02,49
2008-03,59
2008-04,58
2008-05,52
2008-06,48
2008-07,50
2008-08,42
2008-09,57
2008-10,86
2008-11,60
2008-12,53
2009-01,49
2009-02,55
2009-03,49
2009-04,62
2009-05,47
2009-06,53
2009-07,45
2009-08,41
2009-09,49
2009-10,56
2009-11,54
2009-12,49
2010-01,50
2010-02,52
2010-03,53
2010-04,55
2010-05,62
2010-06,49
2010-07,42
2010-08,38
2010-09,42
2010-10,47
2010-11,45
2010-12,41
2011-01,39
2011-02,45
2011-03,50
2011-04,47
2011-05,44
2011-06,41
2011-07,40
2011-08,55
2011-09,47
2011-10,55
2011-11,48
2011-12,40
2012-01,40
2012-02,46
2012-03,44
2012-04,48
2012-05,43
2012-06,38
2012-07,35
2012-08,37
2012-09,42
2012-10,42
2012-11,40
2012-12,36
2013-01,37
2013-02,46
2013-03,43
2013-04,45
2013-05,41
2013-06,40
2013-07,35
2013-08,35
2013-09,41
2013-10,44
2013-11,42
2013-12,40
2014-01,40
2014-02,44
2014-03,42
2014-04,46
2014-05,45
2014-06,45
2014-07,41
2014-08,38
2014-09,44
2014-10,51
2014-11,46
2014-12,43
2015-01,47
2015-02,53
2015-03,49
2015-04,51
2015-05,43
2015-06,42
2015-07,43
2015-08,47
2015-09,52
2015-10,51
2015-11,44
2015-12,43
2016-01,42
2016-02,47
2016-03,52
2016-04,47
2016-05,42
2016-06,45
2016-07,39
2016-08,38
2016-09,43
2016-10,44
2016-11,46
2016-12,37
2017-01,42
2017-02,47
2017-03,42
2017-04,48
2017-05,46
2017-06,42
2017-07,40
2017-08,41
2017-09,42
2017-10,46
2017-11,49
2017-12,50
2018-01,46
2018-02,83
2018-03,46
2018-04,51
2018-05,44
2018-06,42
2018-07,38
2018-08,38
2018-09,44
2018-10,53
2018-11,46
2018-12,45
2019-01,46
2019-02,49
2019-03,41
2019-04,46
2019-05,43
2019-06,39
2019-07,37
2019-08,39
2019-09,40
2019-10,43
2019-11,42
2019-12,38
2020-01,40
2020-02,58
2020-03,100
2020-04,75
2020-05,60
2020-06,60
2020-07,54
2020-08,48
2020-09,56
2020-10,55
2020-11,44
2020-12,48
2021-01,84
2021-02,82
2021-03,53
2021-04,52
2021-05,48
2021-06,51
2021-07,37
2021-08,40
2021-09,43
2021-10,46
2021-11,47
2021-12,45
2022-01,51
2022-02,59
2022-03,58
2022-04,63
2022-05,56
2022-06,42
2022-07,40
2022-08,43
2022-09,45
2022-10,48
2022-11,44
2022-12,38
2023-01,38
2023-02,47
2023-03,50
2023-04,45
2023-05,40
2023-06,36
2023-07,41
2023-08,38
2023-09,43
2023-10,44
2023-11,45
2023-12,42
2024-01,38
2024-02,56
2024-03,51
2024-04,49
2024-05,45
2024-06,42
2024-07,43
2024-08,48
2024-09,43
2024-10,48
2024-11,59
2024-12,49
2025-01,47
2025-02,73
2025-03,69
2025-04,74
