Dates,PX_OPEN,PX_HIGH,PX_LOW
1/3/2000,24.36,26.15,23.98
1/4/2000,24.94,27.18,24.8
1/5/2000,27.98,29,25.85
1/6/2000,26.68,26.71,24.7
1/7/2000,25.14,25.17,21.72
1/10/2000,21.89,22.49,21.36
1/11/2000,21.98,22.63,21.69
1/12/2000,23.05,23.49,22.41
1/13/2000,22.73,23.1,21.32
1/14/2000,19.83,20.15,19.51
1/18/2000,21.39,21.63,20.97
1/19/2000,22.15,22.16,21.44
1/20/2000,21.31,22.6,21.18
1/21/2000,21.55,21.91,20.5
1/24/2000,21.43,24.44,21.43
1/25/2000,23.79,24.28,22.87
1/26/2000,22.91,23.19,22.45
1/27/2000,22.37,24.39,22.03
1/28/2000,23.75,26.54,23.17
1/31/2000,26.78,27.43,24.94
2/1/2000,24.43,24.74,23.29
2/2/2000,23.02,24.74,22.62
2/3/2000,22.72,23.73,21.93
2/4/2000,20.77,21.77,20.69
2/7/2000,22.97,23.27,22.79
2/8/2000,21.68,22.08,21.17
2/9/2000,21.54,22.9,21.29
2/10/2000,23.36,23.55,22.75
2/11/2000,22.94,24.8,22.82
2/14/2000,24.67,24.89,24.27
2/15/2000,24.08,24.75,22.84
2/16/2000,23.2,23.83,22.74
2/17/2000,22.9,23.48,22.63
2/18/2000,23.37,26.37,23.37
2/22/2000,25.91,28.12,25.47
2/23/2000,25.2,25.37,23.56
2/24/2000,24.18,25.94,24.15
2/25/2000,24.13,25.37,23.58
2/28/2000,25.9,26.19,24.09
2/29/2000,23.76,23.88,23.24
3/1/2000,22.65,22.72,21.41
3/2/2000,21.62,22.1,20.93
3/3/2000,19.98,20.04,19.19
3/6/2000,20.38,21.74,20.33
3/7/2000,22.24,24.49,22.24
3/8/2000,24.57,25.2,23.48
3/9/2000,24.18,24.18,22.2
3/10/2000,20.89,21.69,20.84
3/13/2000,23.03,23.26,21.99
3/14/2000,22.75,24.41,22.33
3/15/2000,24.66,24.76,21.98
3/16/2000,21.65,21.92,20.49
3/17/2000,21.26,22.56,21.07
3/20/2000,22.31,23.26,22.28
3/21/2000,23.45,23.45,21.27
3/22/2000,21.91,22.02,21.22
3/23/2000,21.82,22.42,21.1
3/24/2000,22.45,23.96,22.12
3/27/2000,24.35,24.8,24.1
3/28/2000,24.99,25.2,24.47
3/29/2000,24.37,25.02,23.79
3/30/2000,23.95,25.87,23.79
3/31/2000,24.78,24.97,23.44
4/3/2000,24.99,25.86,24.03
4/4/2000,23.5,31.16,23.25
4/5/2000,28.56,30.01,27.77
4/6/2000,27.71,27.83,27.05
4/7/2000,25.64,25.64,23.58
4/10/2000,25.44,26.04,24.97
4/11/2000,27.67,28.08,26.64
4/12/2000,27.19,28.98,27.04
4/13/2000,28.46,29.4,27.78
4/14/2000,30.09,33.79,30.09
4/17/2000,33.7,34.31,28.47
4/18/2000,27.93,28.13,26.12
4/19/2000,26.54,27.23,26.27
4/20/2000,26.54,27.21,25.77
4/24/2000,27.79,28.5,27.25
4/25/2000,26.26,26.45,25.2
4/26/2000,25.39,27.24,25.27
4/27/2000,29.43,29.5,25.95
4/28/2000,25.62,26.8,25.61
5/1/2000,26.07,26.44,25.26
5/2/2000,26.81,28.5,26.5
5/3/2000,30,32.89,30
5/4/2000,31.45,32.06,30.56
5/5/2000,29.49,29.54,27.44
5/8/2000,28.8,29.05,28.2
5/9/2000,28.25,29.68,28.16
5/10/2000,29.68,30.6,28.9
5/11/2000,29.07,29.12,27.76
5/12/2000,26.33,26.33,25.61
5/15/2000,26.47,26.7,24.8
5/16/2000,24.46,25.15,24.09
5/17/2000,24.62,25.11,23.74
5/18/2000,23.42,24.03,23.29
5/19/2000,24.85,26.15,24.85
5/22/2000,26.25,27.9,25.98
